,created_on,sentiment,playerid,player_name
134,2016-03-09 03:14:17.420,-1,40001174,Ian Poulter
135,2016-03-09 13:00:02.383,1,40000987,Troy Merritt
136,2016-03-09 13:00:13.325,1,40001071,Sean O'Hair
137,2016-03-09 13:08:49.760,1,40001211,Chez Reavie
138,2016-03-14 11:20:12.981,1,40000401,Matt Every
139,2016-03-14 11:22:33.927,1,40001373,Henrik Stenson
140,2016-03-15 00:34:38.377,1,40000010,Adam Scott
141,2016-03-15 00:35:26.939,1,40000014,Matt Kuchar
142,2016-03-15 01:12:03.883,1,40001594,Gary Woodland
143,2016-03-15 01:21:51.936,1,40000314,Jason Day
144,2016-03-15 01:22:02.290,1,40001501,Camilo Villegas
145,2016-03-15 01:38:32.619,1,40000182,Scott Brown
146,2016-03-15 02:01:29.128,1,40000016,Billy Horschel
147,2016-03-15 02:01:40.916,1,40000152,Keegan Bradley
148,2016-03-15 02:03:29.388,1,40000012,Zach Johnson
149,2016-03-15 02:09:40.764,1,40000006,Paul Casey
150,2016-03-15 12:47:32.943,-1,40000423,Tony Finau
151,2016-03-16 02:57:36.604,1,40000013,Justin Rose
152,2016-03-16 02:57:51.193,1,40001016,Ryan Moore
153,2016-03-16 02:58:06.628,1,40000965,Rory McIlroy
154,2016-03-16 02:58:20.797,1,40000954,Graeme McDowell
155,2016-03-22 01:29:44.138,1,40001232,Patrick Rodgers
156,2016-03-22 01:29:58.473,1,40001454,David Toms
157,2016-03-22 01:38:52.784,-1,40000423,Tony Finau
158,2016-03-22 01:58:12.447,1,40000482,Brice Garnett
159,2016-03-22 02:12:53.250,-1,40001101,Jeff Overton
160,2016-03-22 02:29:29.608,1,40000978,George McNeill
161,2016-03-22 02:29:37.200,1,40000602,David Hearn
162,2016-03-22 02:35:05.752,1,40000408,Derek Fathauer
163,2016-03-22 02:35:30.828,1,40000196,Jonathan Byrd
164,2016-03-22 17:43:24.552,1,40000182,Scott Brown
165,2016-03-22 17:56:17.486,1,40000031,Thomas Aiken
166,2016-03-22 18:05:27.026,1,40001532,Boo Weekley
167,2016-03-23 01:13:26.717,1,40000959,William McGirt
168,2016-03-23 01:22:36.111,1,40000689,Hiroshi Iwata
169,2016-03-23 01:23:08.214,1,40000743,Jerry Kelly
170,2016-03-23 01:27:02.444,1,40000519,Retief Goosen
171,2016-03-23 01:38:20.785,1,40000693,Fredrik Jacobson
172,2016-03-28 21:16:13.845,1,40000772,Patton Kizzire
173,2016-03-28 21:16:24.274,1,40000423,Tony Finau
174,2016-03-28 21:16:39.375,1,40000615,Russell Henley
175,2016-03-28 21:16:49.779,1,40001107,Ryan Palmer
176,2016-03-28 21:17:00.398,1,40000007,Brooks Koepka
177,2016-03-28 21:18:30.823,1,40000004,Jordan Spieth
178,2016-03-28 21:19:14.131,1,40000561,Adam Hadwin
179,2016-03-28 21:19:27.955,1,40001460,Cameron Tringale
180,2016-03-28 21:19:43.016,1,40000236,Kevin Chappell
181,2016-03-28 23:20:55.390,1,40000657,Mark Hubbard
182,2016-03-29 02:15:28.526,1,40000008,J.B. Holmes
183,2016-03-29 02:15:35.028,1,40000014,Matt Kuchar
184,2016-03-29 02:15:44.135,-1,40000152,Keegan Bradley
185,2016-03-29 02:15:56.362,1,40000287,Ben Crane
186,2016-03-29 02:16:11.831,-1,40000912,Hunter Mahan
